Date,Month,ID,Latitude ,Longitude,Time,On/Off Effort ,Transect,Wind ,Wind Direction,Beaufort Wind,Sea State,Visibility Left (1-5),Visibility Observer 2 Right,Cloud Cover,Glare Observer 1 (0-2),Glare Observer 2 (East Transect only),Turbidity,Number of Mantas,Notes
1/10/2025,1,1,26.5794592,-80.0339,2025-01-10T13:36:57Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,2,26.57919567,-80.0358,2025-01-10T13:37:01Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,3,26.57921688,-80.0364,2025-01-10T13:37:02Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,4,26.57959767,-80.0382,2025-01-10T13:37:06Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,5,26.58003453,-80.0391,2025-01-10T13:37:08Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,6,26.58106324,-80.0403,2025-01-10T13:37:11Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,7,26.58167604,-80.0409,2025-01-10T13:37:13Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,8,26.58331714,-80.0416,2025-01-10T13:37:17Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,9,26.58371947,-80.0417,2025-01-10T13:37:18Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,10,26.58534648,-80.042,2025-01-10T13:37:22Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,11,26.587262,-80.0417,2025-01-10T13:37:27Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,12,26.58862372,-80.041,2025-01-10T13:37:31Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,13,26.58947892,-80.0402,2025-01-10T13:37:34Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,14,26.58991369,-80.0397,2025-01-10T13:37:36Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,15,26.59024956,-80.039,2025-01-10T13:37:38Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,16,26.59047377,-80.0384,2025-01-10T13:37:40Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,17,26.59054351,-80.0381,2025-01-10T13:37:41Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,18,26.59058182,-80.0377,2025-01-10T13:37:42Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,19,26.59057871,-80.037,2025-01-10T13:37:44Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,20,26.59049548,-80.0364,2025-01-10T13:37:46Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,21,26.59042549,-80.0361,2025-01-10T13:37:47Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,22,26.59012056,-80.0352,2025-01-10T13:37:50Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,23,26.58983432,-80.0346,2025-01-10T13:37:52Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,24,26.58950659,-80.0341,2025-01-10T13:37:54Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,25,26.58915102,-80.0336,2025-01-10T13:37:56Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,26,26.58875775,-80.0331,2025-01-10T13:37:58Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,27,26.58833102,-80.0326,2025-01-10T13:38:00Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,28,26.5878919,-80.0321,2025-01-10T13:38:02Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,29,26.5874215,-80.0317,2025-01-10T13:38:04Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,30,26.58692035,-80.0313,2025-01-10T13:38:06Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,31,26.58610202,-80.0308,2025-01-10T13:38:09Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,32,26.5858069,-80.0306,2025-01-10T13:38:10Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,33,26.58444861,-80.0304,2025-01-10T13:38:14Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,34,26.58292964,-80.0308,2025-01-10T13:38:18Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,35,26.58216789,-80.0313,2025-01-10T13:38:20Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,36,26.57989992,-80.0334,2025-01-10T13:38:26Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,37,26.5796063,-80.0337,2025-01-10T13:38:27Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,38,26.5792064,-80.0341,2025-01-10T13:38:28Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,39,26.57874942,-80.0345,2025-01-10T13:38:29Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,40,26.57832169,-80.0348,2025-01-10T13:38:30Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,41,26.57783864,-80.0351,2025-01-10T13:38:31Z,1,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,42,26.57738593,-80.0354,2025-01-10T13:38:32Z,0,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,43,26.57472015,-80.0368,2025-01-10T13:38:38Z,0,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,44,26.57336111,-80.0372,2025-01-10T13:38:41Z,0,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,45,26.57273155,-80.0373,2025-01-10T13:38:42Z,0,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
1/10/2025,1,46,26.57153537,-80.0375,2025-01-10T13:38:45Z,0,West,5-10,NE,,3,2,2,25-50%,0,0,0,0,
